step,reward,avg_speed,cav_count,hdv_count
114,0.348952,1.591487,21,16
115,0.348627,1.585919,21,16
116,0.348289,1.580126,21,16
117,0.347991,1.575021,21,16
118,0.347721,1.570389,21,16
119,0.266746,1.566324,21,16
120,0.269825,1.576244,21,16
121,0.172099,1.031104,20,16
122,0.176525,1.042693,20,16
123,0.190897,1.224785,21,16
124,0.195295,1.235898,21,16
125,0.199706,1.247227,21,16
126,0.204156,1.259228,21,16
127,0.208588,1.270925,21,16
128,0.213045,1.283034,21,16
129,0.217503,1.295179,21,16
130,0.221973,1.307523,21,16
131,0.249458,1.714401,22,16
132,0.253894,1.726162,22,16
133,0.257550,1.724556,22,16
134,0.261180,1.722489,22,16
135,0.264940,1.722662,22,16
136,0.268760,1.723869,22,16
137,0.272530,1.724210,22,16
138,0.276300,1.724548,22,16
139,0.280054,1.724620,22,16
140,0.283726,1.723279,22,16
141,0.287578,1.725031,22,16
142,0.291354,1.725481,22,16
143,0.295281,1.728507,22,16
144,0.294432,1.713953,22,16
145,0.293734,1.701983,22,16
146,0.293022,1.689777,22,16
147,0.292457,1.680097,22,16
148,0.291703,1.667170,22,16
149,0.291086,1.656600,22,16
150,0.290357,1.644095,22,16
151,0.289721,1.633196,22,15
152,0.304765,1.891100,23,15
153,0.304153,1.880599,23,15
154,0.303160,1.863577,23,15
155,0.302265,1.848231,23,15
156,0.301336,1.832314,23,15
157,0.300140,1.811806,23,15
158,0.298840,1.789522,23,15
159,0.297436,1.765455,23,15
160,0.296169,1.743734,23,15
161,0.295157,1.726380,23,15
162,0.294058,1.707553,23,15
163,0.292873,1.687226,23,15
164,0.291845,1.669603,23,15
165,0.302152,1.846301,24,15
166,0.301007,1.826669,24,15
167,0.300048,1.810238,24,15
168,0.298791,1.788675,24,15
169,0.297802,1.771736,24,15
170,0.296834,1.755134,24,15
171,0.295852,1.738295,24,15
172,0.294850,1.721120,24,15
173,0.293959,1.705842,24,15
174,0.293139,1.691786,24,15
175,0.292301,1.677431,24,15
176,0.291493,1.663577,24,15
177,0.290729,1.650482,24,15
178,0.290065,1.639089,24,15
179,0.289363,1.627062,24,15
180,0.288688,1.615481,24,15
181,0.288009,1.603840,24,15
182,0.287444,1.594161,24,15
183,0.286867,1.584264,24,15
184,0.286215,1.573085,24,15
185,0.285754,1.565186,24,15
186,0.285255,1.556631,24,15
187,0.298835,1.789430,25,15
188,0.298392,1.781842,25,15
189,0.297596,1.768198,25,15
190,0.296857,1.755523,25,15
191,0.296185,1.744008,25,15
192,0.295464,1.731644,25,15
193,0.294810,1.720436,25,15
194,0.294222,1.710356,25,15
195,0.293247,1.693647,25,15
196,0.299155,1.794922,26,15
197,0.297612,1.768473,26,15
198,0.295846,1.738199,26,15
199,0.294101,1.708277,26,15
200,0.232134,1.677700,26,15
201,0.233497,1.658204,26,15
202,0.234911,1.639597,26,15
203,0.236338,1.621193,26,15
204,0.237788,1.603200,26,15
205,0.239246,1.585330,26,15
206,0.240756,1.568369,26,15
207,0.242293,1.551847,26,15
208,0.243839,1.535504,26,15
209,0.245424,1.519808,26,15
210,0.247078,1.505317,26,15
211,0.248735,1.490850,26,15
212,0.250415,1.476803,26,15
213,0.252142,1.463542,26,15
214,0.253898,1.450803,26,15
215,0.255677,1.438434,26,15
216,0.257493,1.426701,26,15
217,0.259327,1.415293,26,15
218,0.261224,1.404959,26,15
219,0.263132,1.394811,26,15
220,0.273721,1.533482,27,15
221,0.275708,1.524684,27,15
222,0.277363,1.510190,27,15
223,0.279084,1.496839,27,15
224,0.280768,1.482855,27,15
225,0.279355,1.458635,27,15
226,0.278003,1.435457,27,15
227,0.276702,1.413144,27,15
228,0.275456,1.391786,27,15
229,0.274212,1.370463,27,15
230,0.273018,1.349998,27,15
231,0.271859,1.330124,27,15
232,0.270744,1.311009,27,15
233,0.269656,1.292355,27,15
234,0.268601,1.274281,27,15
235,0.267620,1.257454,27,15
236,0.266665,1.241086,27,15
237,0.265751,1.225425,27,15
238,0.264879,1.210464,27,15
239,0.263993,1.195284,27,15
240,0.263169,1.181150,27,16
241,0.262403,1.168032,27,16
242,0.261683,1.155676,27,16
243,0.260991,1.143820,27,16
244,0.260325,1.132407,27,16
245,0.259684,1.121418,27,16
246,0.259082,1.111092,27,16
247,0.258522,1.101491,27,16
248,0.257982,1.092242,27,16
249,0.257484,1.083698,27,16
250,0.257023,1.075792,27,16
251,0.256597,1.068492,27,16
252,0.256204,1.061748,27,16
253,0.255803,1.054887,27,16
254,0.255441,1.048671,27,16
255,0.255115,1.043079,27,16
256,0.254816,1.037966,27,16
257,0.254544,1.033301,27,16
258,0.254296,1.029050,27,16
259,0.254070,1.025179,27,16
260,0.253859,1.021554,27,16
261,0.253654,1.018049,27,16
262,0.253472,1.014924,27,16
263,0.253310,1.012138,27,16
264,0.253164,1.009646,27,16
265,0.253034,1.007416,27,16
266,0.252918,1.005418,27,16
267,0.252813,1.003624,27,16
268,0.252719,1.002011,27,16
269,0.252634,1.000558,27,16
270,0.252558,0.999247,27,16
271,0.252489,0.998065,27,16
272,0.252426,0.996995,27,16
273,0.252370,0.996026,27,16
274,0.252319,0.995148,27,16
275,0.252272,0.994350,27,16
276,0.252230,0.993625,27,16
277,0.252191,0.992963,27,16
278,0.252156,0.992361,27,16
279,0.252124,0.991810,27,16
280,0.252095,0.991307,27,16
281,0.252068,0.990847,27,16
282,0.252043,0.990425,27,16
283,0.252021,0.990039,27,16
284,0.252000,0.989685,27,16
285,0.251981,0.989360,27,16
286,0.251964,0.989061,27,16
287,0.251947,0.988786,27,16
288,0.251933,0.988533,27,16
289,0.251919,0.988300,27,16
290,0.251907,0.988085,27,16
291,0.251895,0.987887,27,16
292,0.251884,0.987704,27,16
293,0.206771,0.987536,27,16
294,0.209286,0.998491,27,16
295,0.211800,1.009459,27,16
296,0.214316,1.020437,27,16
297,0.216832,1.031425,27,16
298,0.219348,1.042423,27,16
299,0.221865,1.053429,27,16
300,0.224383,1.064443,27,16
301,0.226901,1.075464,27,16
302,0.229419,1.086492,27,16
303,0.231938,1.097526,27,16
304,0.234457,1.108565,27,16
305,0.236976,1.119610,27,16
306,0.239495,1.130660,27,16
307,0.242015,1.141715,27,16
308,0.223718,0.897111,26,16
309,0.226889,0.908599,26,16
310,0.230059,0.920090,26,16
311,0.233229,0.931585,26,16
312,0.236400,0.943084,26,16
313,0.239571,0.954585,26,16
314,0.242742,0.966089,26,16
315,0.245913,0.977595,26,16
316,0.249085,0.989104,26,16
317,0.252256,1.000615,26,16
318,0.252255,1.000590,26,16
319,0.252253,1.000566,26,16
320,0.252252,1.000544,26,16
321,0.252251,1.000524,26,16
322,0.252250,1.000505,26,16
323,0.252249,1.000488,26,16
324,0.252248,1.000472,26,16
325,0.252247,1.000457,26,16
326,0.252246,1.000443,26,16
327,0.252245,1.000430,26,16
328,0.252245,1.000418,26,16
329,0.252244,1.000407,26,16
330,0.252243,1.000397,26,16
331,0.252243,1.000388,26,16
332,0.252242,1.000379,26,16
333,0.252242,1.000371,26,16
334,0.252241,1.000363,26,16
335,0.252241,1.000356,26,16
336,0.252241,1.000350,26,16
337,0.252240,1.000344,26,16
338,0.252240,1.000338,26,16
339,0.252240,1.000333,26,16
340,0.252239,1.000329,26,16
341,0.252239,1.000324,26,16
342,0.252239,1.000320,26,16
343,0.252239,1.000316,26,16
344,0.252239,1.000313,26,16
345,0.252238,1.000310,26,16
346,0.252238,1.000307,26,16
347,0.252238,1.000304,26,16
348,0.252238,1.000301,26,16
349,0.252238,1.000299,26,16
350,0.252238,1.000297,26,16
351,0.252237,1.000295,26,16
352,0.252237,1.000293,26,16
353,0.252237,1.000291,26,16
354,0.252237,1.000289,26,16
355,0.252237,1.000288,26,16
356,0.252237,1.000286,26,16
357,0.252237,1.000285,26,16
358,0.252237,1.000284,26,16
359,0.252237,1.000283,26,16
360,0.252237,1.000282,26,16
361,0.252237,1.000281,26,16
362,0.252237,1.000280,26,16
363,0.252237,1.000279,26,16
364,0.252237,1.000278,26,16
365,0.252237,1.000278,26,16
366,0.252236,1.000277,26,16
367,0.252236,1.000277,26,16
368,0.252236,1.000276,26,16
369,0.252236,1.000275,26,16
370,0.252236,1.000275,26,16
371,0.252236,1.000275,26,16
372,0.252236,1.000274,26,16
373,0.252236,1.000274,26,16
374,0.252236,1.000274,26,16
375,0.252236,1.000273,26,16
376,0.252236,1.000273,26,16
377,0.252236,1.000273,26,16
378,0.252236,1.000273,26,16
379,0.252236,1.000272,26,16
380,0.252236,1.000272,26,16
381,0.252236,1.000272,26,16
382,0.252236,1.000272,26,16
383,0.252236,1.000272,26,16
384,0.252236,1.000272,26,16
385,0.252236,1.000272,26,16
386,0.207224,1.000271,26,16
387,0.209772,1.011810,26,16
388,0.212320,1.023348,26,16
389,0.214868,1.034887,26,16
390,0.217416,1.046425,26,16
391,0.219964,1.057963,26,16
392,0.195651,0.802038,25,16
393,0.198851,0.814038,25,16
394,0.202051,0.826038,25,16
395,0.205251,0.838038,25,16
396,0.208451,0.850038,25,16
397,0.211651,0.862038,25,16
398,0.214851,0.874038,25,16
399,0.218051,0.886038,25,16
400,0.221251,0.898038,25,16
401,0.224451,0.910038,25,16
402,0.227651,0.922038,25,16
403,0.230851,0.934038,25,16
404,0.234051,0.946038,25,16
405,0.237251,0.958038,25,16
406,0.240451,0.970038,25,16
407,0.243651,0.982038,25,16
408,0.246851,0.994038,25,16
409,0.250051,1.006038,25,16
410,0.253251,1.018038,25,16
411,0.253251,1.018038,25,16
412,0.253251,1.018038,25,16
413,0.253251,1.018038,25,16
414,0.253251,1.018038,25,16
415,0.253251,1.018038,25,16
416,0.253251,1.018038,25,16
417,0.253251,1.018038,25,16
418,0.253251,1.018038,25,16
419,0.253251,1.018038,25,16
420,0.253251,1.018038,25,16
421,0.253251,1.018038,25,16
422,0.253251,1.018038,25,16
423,0.253251,1.018038,25,16
424,0.253251,1.018038,25,16
425,0.253251,1.018038,25,16
426,0.253251,1.018038,25,16
427,0.253251,1.018038,25,16
428,0.253251,1.018038,25,16
429,0.253251,1.018038,25,16
430,0.253251,1.018038,25,16
431,0.253251,1.018038,25,16
432,0.253251,1.018038,25,16
433,0.253251,1.018038,25,16
434,0.253251,1.018038,25,16
435,0.253251,1.018038,25,16
436,0.253251,1.018038,25,16
437,0.253251,1.018038,25,16
438,0.253251,1.018038,25,16
439,0.253251,1.018038,25,16
440,0.253251,1.018038,25,16
441,0.253251,1.018038,25,16
442,0.253251,1.018038,25,16
443,0.253251,1.018038,25,16
444,0.253251,1.018038,25,16
445,0.253251,1.018038,25,16
446,0.253251,1.018038,25,16
447,0.253251,1.018038,25,16
448,0.253251,1.018038,25,16
449,0.253251,1.018038,25,16
450,0.253251,1.018038,25,16
451,0.253251,1.018038,25,16
452,0.253251,1.018038,25,16
453,0.253251,1.018038,25,16
454,0.253251,1.018038,25,16
455,0.253251,1.018038,25,16
456,0.253251,1.018038,25,16
457,0.253251,1.018038,25,16
458,0.253251,1.018038,25,16
459,0.253251,1.018038,25,16
460,0.253251,1.018038,25,16
461,0.253251,1.018038,25,16
462,0.253251,1.018038,25,16
463,0.253251,1.018038,25,16
464,0.253251,1.018038,25,16
465,0.253251,1.018038,25,16
466,0.253251,1.018038,25,16
467,0.208244,1.018038,25,16
468,0.210819,1.030038,25,16
469,0.213394,1.042038,25,16
470,0.215969,1.054038,25,16
471,0.218544,1.066038,25,16
472,0.221119,1.078038,25,16
473,0.223694,1.090038,25,16
474,0.226269,1.102038,25,16
475,0.202686,0.837285,24,16
476,0.205915,0.849785,24,16
477,0.209144,0.862285,24,16
478,0.212374,0.874785,24,16
479,0.215603,0.887285,24,16
480,0.218832,0.899785,24,16
481,0.222061,0.912285,24,16
482,0.225290,0.924785,24,16
483,0.228519,0.937285,24,16
484,0.231749,0.949785,24,16
485,0.234978,0.962285,24,16
486,0.238207,0.974785,24,16
487,0.241436,0.987285,24,16
